Date,"Node ID","Node Name",TLN,"Pole ID","Threshold 1","Template Name","Threshold 2","X1 Lowest Value","X1 Duration","X3 Lowest Value","X3 Duration",Substation,Feeder,"IEEE Class",Direction,"Event Type",Resolved,Username,"Date Resolved","X1 Avg. Peak Value","X3 Avg. Peak Value","Service Center","Substation ID","Feeder ID",Address,"Operating KVA",Phase,Loop,"Operating Voltage","Secondary Voltage","Transformer ID","Unit Record Global ID","Parent Global ID","Oil Fill Type",Solar,"Critical Infrastructure","Transformer PT Ratio","Transformer CT Ratio",Waveform,"Tx Type","Cable Kit","Lateral Type","Lateral ID","Switch Number",Latitude,Longitude,"HW Version","Rated HV","Pole Color","Pole Height","Pole Type","Serial Number",HDOP,"Manufacturer Name","Median Latitude","Median Longitude","Circuit Type","Nominal Voltage","X1 % of Nominal","X3 % of Nominal"
"05/15/2026 10:09:53 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.18,1.395,114.15,0,,,"Instantaneous Sag",,,False,,,150.6,153.22,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.49,95.13
"05/15/2026 10:09:52 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,111.94,21.683,113.91,0,,,"Instantaneous Sag",,,False,,,150.83,153.45,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.28,94.93
"05/15/2026 10:09:52 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.06,22.067,114.06,0,,,"Instantaneous Sag",,,False,,,5.15,5.24,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.39,95.05
"05/15/2026 10:09:51 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.03,31.532,113.99,0,,,"Momentary Sag",,,False,,,25.06,25.49,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.36,94.99
"05/15/2026 10:09:50 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,111.91,46.502,113.83,0,,,"Momentary Sag",,,False,,,33.08,33.62,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.26,94.86
"05/15/2026 10:09:50 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,111.78,44.967,113.75,0,,,"Momentary Sag",,,False,,,112.64,114.52,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.15,94.79
"05/15/2026 10:09:49 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.17,159.641,113.94,0,,,"Momentary Sag",,,False,,,113.2,115,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.47,94.95
"05/15/2026 10:09:22 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.19,1.375,114.32,0,,,"Instantaneous Sag",,,False,,,197.84,201.58,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.49,95.26
"05/15/2026 10:09:03 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,107.82,389.689,111.08,0,,,"Temporary Sag",,,False,,,113.05,115.45,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,89.85,92.57
"05/15/2026 10:08:21 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,111.98,463.343,114.69,0,,,"Temporary Sag",,,False,,,112.95,115.52,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.32,95.57
"05/15/2026 10:06:38 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.5,4.705,115.46,0,,,"Instantaneous Sag",,,False,,,113.54,116.26,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.75,96.22
"05/15/2026 10:06:28 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,111.35,17.941,115.38,0,,,"Instantaneous Sag",Indeterminate,Indeterminate,False,,,112.71,116.04,,,,,15,,,,,,,,,,,,,Yes,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,92.79,96.15
"05/15/2026 10:01:35 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.22,1.463,115.11,0,,,"Instantaneous Sag",Indeterminate,Indeterminate,False,,,113.04,115.89,,,,,15,,,,,,,,,,,,,Yes,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.52,95.92
"05/15/2026 10:01:15 PM",862754052845129,2414UTMF03566,,,7,Vsag,0.6,112.02,572.815,114.87,0,,,"Temporary Sag",,,False,,,113.21,116.15,,,,,15,,,,,,,,,,,,,No,"1P Aerial",4,42,,,-2.898219,-79.018089,D2,,,,,2414UTMF03566,0.6,,-2.908065,-79.057373,,120,93.35,95.73
